smoothed_face_out_a,smoothed_face_out_b
0.029306103,0.021201763
0.029317575,0.021221936
0.029329013,0.021555725
0.030260056,0.021218404
0.029810386,0.021269564
0.02917838,0.020903254
0.029131945,0.021063145
0.028771581,0.02141347
0.02865804,0.021317393
0.029090194,0.021357499
0.029034704,0.02117744
0.029194063,0.021022376
0.029378483,0.021096192
0.029607918,0.020548625
0.029501894,0.020244036
0.02953893,0.020131858
0.029520014,0.020445714
0.029066933,0.020534737
0.02924501,0.020819506
0.029472742,0.020463794
0.029711412,0.02016807
0.02973122,0.020221211
0.02997056,0.020385744
0.029806187,0.020116912
0.03020203,0.020080088
0.029645853,0.020127619
0.029238176,0.020091362
0.029114792,0.02008775
0.02929157,0.020160096
0.029620374,0.020636264
0.02963747,0.020409636
0.029546814,0.020502767
0.02977205,0.020404497
0.029797895,0.020691115
0.029721914,0.021160636
0.029385839,0.02123031
0.02936982,0.021630386
0.02949157,0.021662896
0.02935956,0.021448484
0.029617107,0.021493297
0.029275354,0.021021502
0.029073324,0.0210715
0.029120592,0.021026826
0.028970223,0.020899234
0.02904343,0.020806896
0.028776053,0.020423423
0.02856369,0.020281458
0.02877345,0.02024219
0.028986113,0.020100879
0.028589904,0.019742807
0.029202437,0.019573793
0.029353507,0.019591099
0.029264083,0.020104833
0.028997272,0.020492975
0.029250132,0.020753218
0.02967334,0.020606972
0.029396743,0.020486157
0.029237743,0.02085732
0.028989818,0.021256864
0.029460136,0.021412708
0.029517597,0.021640178
0.03019519,0.021509811
0.029982226,0.02167305
0.029990928,0.021660408
0.029913653,0.021593157
0.029425783,0.021432526
0.02956581,0.022704482
0.029643472,0.022775507
0.029256266,0.022856165
0.029259965,0.022723455
0.029373446,0.022909284
0.029087294,0.022924956
0.028960656,0.022623299
0.028850151,0.022556193
0.028851021,0.022258563
0.028974531,0.021908399
0.029170215,0.022276798
0.029435769,0.022394313
0.029795853,0.022354351
0.02985934,0.022290478
0.030051762,0.02216817
0.029985312,0.022053197
0.03078165,0.021831729
0.030261166,0.021835407
0.030061344,0.022007704
0.03000766,0.021833373
0.029688198,0.022050075
0.02927249,0.021828737
0.029442709,0.021486208
0.029182166,0.021320747
0.029911937,0.021298844
0.029904393,0.021085959
0.029741256,0.020896666
0.030087411,0.020633863
0.030307235,0.020448841
0.03065526,0.020402774
0.030370483,0.02047988
0.029937,0.020319266
0.02962948,0.020414349
0.029086279,0.020626424
0.029468656,0.020762544
0.029150475,0.021148806
0.029754847,0.021166516
0.029626703,0.020868776
0.02950835,0.021029182
0.029750882,0.020908767
0.029934866,0.0207538
0.029673215,0.020868646
0.029433561,0.020448027
0.029105589,0.020446649
0.029006448,0.02032128
0.029019687,0.020299966
0.02919295,0.020082304
0.02927695,0.019890584
0.029341945,0.019868616
0.029484417,0.01964492
0.029616006,0.019937405
0.030329343,0.02046987
0.029972276,0.020245066
0.029727923,0.020093767
0.029652918,0.01991918
0.02946839,0.019888418
0.029276717,0.02010224
0.028779447,0.020015167
0.028503198,0.020292137
0.028423468,0.02056631
0.028420053,0.020276677
0.028279942,0.020249762
0.027996624,0.020569526
0.028124772,0.020629257
0.02842476,0.020752985
0.028303808,0.020880003
0.028335687,0.021150475
0.02823336,0.020793507
0.028271588,0.020620296
0.028231608,0.020348826
0.028250266,0.020333974
0.028542638,0.02051421
0.028260967,0.020484464
0.028763365,0.020514742
0.028786128,0.02049172
0.028886585,0.02026017
0.02860582,0.020470986
0.028450878,0.020383207
0.028243387,0.020399228
0.02816243,0.020632753
0.027739776,0.02044026
0.02798628,0.020451115
0.027933689,0.020373996
0.027989732,0.020266907
0.027853042,0.020191954
0.028268406,0.01990604
0.02843358,0.019868912
0.028321303,0.019802116
0.029017944,0.020059051
0.029575432,0.020047562
0.029615495,0.020245101
0.029478023,0.020714425
0.029218033,0.021076513
0.029184954,0.020847006
0.028889976,0.020801162
0.02885677,0.021269532
0.028862584,0.02128054
0.028575446,0.021379525
0.028501164,0.021026013
0.028372489,0.02082993
0.028567012,0.020761514
0.028899549,0.020584807
0.028854065,0.020235866
0.029447816,0.020444402
0.029220385,0.02049571
0.028989611,0.02049797
0.028788362,0.02078246
0.02864738,0.021063784
0.028795857,0.021452317
0.0286862,0.02122377
0.028503207,0.020940488
0.028279055,0.02108664
0.028396517,0.02095429
0.028735008,0.021255082
0.028754193,0.020979393
0.028790493,0.020654298
0.028738763,0.02076854
0.028659033,0.020882795
0.028894119,0.021246517
0.029067881,0.02115781
0.028857322,0.021394268
0.028527878,0.021059634
0.028665373,0.021334458
0.02854531,0.021093413
0.028484887,0.02127279
0.028485857,0.021195047
0.028726561,0.02126048
0.02889175,0.021344835
0.028593998,0.021103136
0.029361991,0.021120181
0.029552596,0.02114217
0.029630745,0.02089513
0.029817233,0.020759605
0.029407522,0.021148115
0.030003734,0.020696847
0.030169493,0.02023556
