smoothed_face_out_a,smoothed_face_out_b
0.031482484,0.023862965
0.031787187,0.024649808
0.031961594,0.024288591
0.03206624,0.024041113
0.03219261,0.023961417
0.032400146,0.023728564
0.0323217,0.022968404
0.031619016,0.022785954
0.03208696,0.022935852
0.03165919,0.02232933
0.03117169,0.02188858
0.031659637,0.021732165
0.031864125,0.02166584
0.03168778,0.021532374
0.031065308,0.021765897
0.031294245,0.021197947
0.031326536,0.021083137
0.031319793,0.02092297
0.03107256,0.020932913
0.031334054,0.020663423
0.031431668,0.020674977
0.03128441,0.0202386
0.031289764,0.020206384
0.030600963,0.020094825
0.03076255,0.0196719
0.030199697,0.020066118
0.029964402,0.019718997
0.029851105,0.019843359
0.029672394,0.0197891
0.029585991,0.019765941
0.029166978,0.019885834
0.029150892,0.020190354
0.0293508,0.020163832
0.029262485,0.020157455
0.028897854,0.019880276
0.0289071,0.020054713
0.02886867,0.020148244
0.029089872,0.020490205
0.02859875,0.020545052
0.028746016,0.020918328
0.028822605,0.021509355
0.029177615,0.021585103
0.029267188,0.021558918
0.02930658,0.021628167
0.029639948,0.021751355
0.029345736,0.02167057
0.029351363,0.021684801
0.029191505,0.021811038
0.028842745,0.02188469
0.029163947,0.02158525
0.029038822,0.021667171
0.02923391,0.02167538
0.029656852,0.021575706
0.029892307,0.021991648
0.029578343,0.021622373
0.02956748,0.021661736
0.029666953,0.021592785
0.03003852,0.02135394
0.030169059,0.021357842
0.03044381,0.021563476
0.030244153,0.021768
0.030276077,0.021576902
0.03004386,0.021479892
0.029574953,0.021581028
0.02921611,0.021275604
0.028906846,0.021411778
0.028796311,0.021463377
0.028852684,0.021948665
0.028961534,0.021685334
0.028975798,0.021566426
0.028681714,0.021697251
0.028768314,0.021363024
0.028398592,0.021255614
0.028319908,0.021268483
0.028447699,0.02095975
0.02839128,0.021169264
0.028661365,0.020839121
0.028669456,0.020535914
0.029003296,0.020573277
0.028678508,0.02075428
0.029038446,0.021121584
0.02874008,0.020851962
0.02906309,0.02084258
0.029550033,0.02075671
0.029625403,0.020720204
0.030124778,0.02058639
0.03018429,0.02054353
0.030141238,0.020565392
0.029691994,0.021159537
0.030058216,0.021082032
0.03011696,0.020912716
0.030147836,0.020909596
0.030392993,0.020973643
0.030725524,0.020867823
0.031343017,0.021071648
0.031003397,0.02102719
0.031167945,0.021190474
0.031123845,0.021385103
0.030921549,0.021069895
0.030741746,0.020831347
0.029942779,0.020718293
0.02968289,0.020698681
0.030003292,0.020813739
0.030049846,0.020911654
0.030473528,0.021066029
0.03043039,0.021202924
0.030332388,0.02103343
0.030166188,0.020948796
0.02994231,0.021043507
0.02978017,0.020777978
0.030258028,0.020603916
0.030467886,0.0204669
0.030440416,0.020516383
0.030944249,0.020673297
0.030927174,0.020937152
0.03078492,0.020827606
0.030425066,0.020801542
0.030206572,0.020962564
0.030244786,0.021011995
0.02990818,0.02096949
0.029417425,0.020868028
0.028990384,0.020976493
0.029396495,0.02105233
0.02978482,0.021222789
0.02994778,0.021244396
0.029986914,0.02118773
0.030341422,0.021635313
0.030726261,0.021141674
0.030235874,0.021075228
0.030534899,0.02081329
0.030513119,0.02108514
0.03066151,0.021007268
0.030309835,0.020795293
0.030509157,0.020641288
0.030375112,0.020445049
0.030327009,0.020517008
0.030534241,0.020494778
0.029806271,0.020367876
0.02999824,0.02078985
0.029838072,0.020729072
0.029848646,0.020834316
0.029655436,0.02085936
0.029945014,0.020860692
0.029892197,0.02094659
0.029488793,0.02074129
0.029414462,0.020989086
0.029002238,0.021213269
0.030072605,0.021249233
0.030749626,0.021527486
0.030842895,0.021497464
0.031211607,0.02116172
0.030746292,0.02110712
0.030089319,0.021054981
0.030171225,0.021021135
0.02983392,0.020685118
0.029458666,0.020538634
0.029100003,0.020406175
0.028850669,0.020108068
0.029005645,0.020158526
0.029260589,0.020318981
0.029511383,0.020337889
0.029902665,0.02001503
0.03004944,0.020057848
0.030017013,0.020159863
0.030268004,0.020396166
0.030616181,0.020598441
0.030544871,0.020707998
0.030177848,0.020468418
0.030608475,0.02000268
0.030484304,0.020030372
0.03056995,0.020626377
0.0309525,0.020686017
0.030551339,0.020649036
0.030790675,0.020255448
0.030324064,0.020062206
0.030325238,0.020261947
0.030289708,0.020673437
0.029635077,0.020447044
0.029327307,0.020503825
0.02926991,0.020498551
0.029330827,0.02037442
0.029273331,0.020060824
0.029571783,0.019923508
0.02910107,0.02015103
0.02957101,0.02062957
0.029868482,0.021375861
0.02954599,0.021273999
0.02956716,0.021619277
0.029416068,0.02153058
0.029579517,0.021442343
